sna,tot,lat,lng,流量,路徑
重慶長安路口,15,25.0515,121.51398,81,05-29表格/重慶長安路口.jpg
劍潭抽水站,17,25.08128,121.51784,130,05-29表格/劍潭抽水站.jpg
通河東街大南路口,15,25.08914,121.51542,92,05-29表格/通河東街大南路口.jpg
福港街停車場,22,25.08695,121.51901,135,05-29表格/福港街停車場.jpg
百齡國小,37,25.08521,121.51918,282,05-29表格/百齡國小.jpg
雨聲街165巷口,15,25.10277,121.53357,49,05-29表格/雨聲街165巷口.jpg
天和公園,13,25.12001,121.53342,85,05-29表格/天和公園.jpg
中山天母路口,29,25.11856,121.52964,248,05-29表格/中山天母路口.jpg
天母運動公園,27,25.11633,121.53414,216,05-29表格/天母運動公園.jpg
臺北市立大學(天母校區),16,25.11356,121.53718,136,05-29表格/臺北市立大學(天母校區).jpg
忠誠路二段53巷,18,25.11127,121.53244,107,05-29表格/忠誠路二段53巷.jpg
天母國中,18,25.11811,121.53875,11,05-29表格/天母國中.jpg
天母棒球場,26,25.11341,121.53195,120,05-29表格/天母棒球場.jpg
天母北天玉街口,15,25.12011,121.52652,36,05-29表格/天母北天玉街口.jpg
蘭興公園,16,25.11184,121.52589,151,05-29表格/蘭興公園.jpg
明勝公園,14,25.08009,121.51895,50,05-29表格/明勝公園.jpg
劍潭海外青年活動中心,23,25.07994,121.52426,130,05-29表格/劍潭海外青年活動中心.jpg
忠誠路一段173巷口,11,25.10813,121.5304,112,05-29表格/忠誠路一段173巷口.jpg
雨農國小,32,25.10564,121.52916,157,05-29表格/雨農國小.jpg
忠誠公園,14,25.10399,121.52593,100,05-29表格/忠誠公園.jpg
芝山抽水站,21,25.10155,121.52832,124,05-29表格/芝山抽水站.jpg
至誠路一段305巷口,21,25.10186,121.53083,56,05-29表格/至誠路一段305巷口.jpg
華齡公園,18,25.08302,121.52069,196,05-29表格/華齡公園.jpg
前港公園(福德宮),18,25.08671,121.52096,30,05-29表格/前港公園(福德宮).jpg
華齡街185巷口,12,25.08828,121.51985,126,05-29表格/華齡街185巷口.jpg
前港公園(前港街),19,25.0848,121.52125,56,05-29表格/前港公園(前港街).jpg
百齡高中,15,25.08736,121.52272,54,05-29表格/百齡高中.jpg
捷運芝山站(2號出口),21,25.10364,121.52219,283,05-29表格/捷運芝山站(2號出口).jpg
臺灣戲曲中心,14,25.10208,121.51979,83,05-29表格/臺灣戲曲中心.jpg
捷運劍潭站(2號出口),63,25.08288,121.52455,473,05-29表格/捷運劍潭站(2號出口).jpg
劍潭基河路口,20,25.08403,121.5249,126,05-29表格/劍潭基河路口.jpg
志成公園,15,25.09667,121.53206,80,05-29表格/志成公園.jpg
福林國小,14,25.09896,121.53025,73,05-29表格/福林國小.jpg
中山中正路口,19,25.09651,121.52753,95,05-29表格/中山中正路口.jpg
士林運動中心,27,25.08911,121.52154,198,05-29表格/士林運動中心.jpg
陽明高中,36,25.09164,121.51706,67,05-29表格/陽明高中.jpg
兒童新樂園,23,25.09631,121.51449,50,05-29表格/兒童新樂園.jpg
臺北市立天文館,31,25.09598,121.51776,106,05-29表格/臺北市立天文館.jpg
華聲公園,27,25.09619,121.5223,94,05-29表格/華聲公園.jpg
福林公園,17,25.09419,121.52833,0,05-29表格/福林公園.jpg
捷運士林站(2號出口),31,25.09343,121.52642,311,05-29表格/捷運士林站(2號出口).jpg
銘傳大學,30,25.08771,121.52677,115,05-29表格/銘傳大學.jpg
士林高商,26,25.09435,121.51702,49,05-29表格/士林高商.jpg
蘭雅公園,29,25.10991,121.53039,204,05-29表格/蘭雅公園.jpg
聯合醫院陽明院區,15,25.10455,121.53195,43,05-29表格/聯合醫院陽明院區.jpg
捷運芝山站(1號出口),36,25.10225,121.52286,500,05-29表格/捷運芝山站(1號出口).jpg
至誠公園,15,25.10143,121.53585,34,05-29表格/至誠公園.jpg
原住民文化主題公園,21,25.10113,121.55159,32,05-29表格/原住民文化主題公園.jpg
通河東街2段10巷口,15,25.09106,121.51502,53,05-29表格/通河東街2段10巷口.jpg
梅林新村,15,25.09755,121.54036,52,05-29表格/梅林新村.jpg
延平北中正路口,30,25.08678,121.50948,75,05-29表格/延平北中正路口.jpg
重慶北路四段190巷口,13,25.08505,121.51166,33,05-29表格/重慶北路四段190巷口.jpg
重慶北葫東街口,15,25.08393,121.51169,30,05-29表格/重慶北葫東街口.jpg
葫蘆國小,20,25.08254,121.5075,118,05-29表格/葫蘆國小.jpg
士林3號廣場,30,25.10459,121.52417,231,05-29表格/士林3號廣場.jpg
社正公園,15,25.08824,121.51054,105,05-29表格/社正公園.jpg
社子國小,15,25.09058,121.50142,68,05-29表格/社子國小.jpg
社中街384巷口,18,25.09346,121.50376,36,05-29表格/社中街384巷口.jpg
忠誠路一段138號,15,25.10641,121.52944,56,05-29表格/忠誠路一段138號.jpg
社子公園,14,25.0902,121.50622,77,05-29表格/社子公園.jpg
國立故宮博物院,17,25.09833,121.54788,63,05-29表格/國立故宮博物院.jpg
泰北高中,12,25.09763,121.53402,44,05-29表格/泰北高中.jpg
後港公園,15,25.09312,121.51419,20,05-29表格/後港公園.jpg
重慶北路四段117號,18,25.08279,121.51219,42,05-29表格/重慶北路四段117號.jpg
社子島島頭公園,15,25.10893,121.46639,147,05-29表格/社子島島頭公園.jpg
延平北路八段133巷口,15,25.10304,121.48297,18,05-29表格/延平北路八段133巷口.jpg
坤天亭,14,25.1064,121.4836,25,05-29表格/坤天亭.jpg
社子島濕地解說小築,15,25.11314,121.48974,40,05-29表格/社子島濕地解說小築.jpg
福安國中,11,25.10261,121.48819,5,05-29表格/福安國中.jpg
福安消防分隊,15,25.09669,121.49706,68,05-29表格/福安消防分隊.jpg
聖山綠地,15,25.10696,121.53234,211,05-29表格/聖山綠地.jpg
芝山國小,14,25.11044,121.53595,157,05-29表格/芝山國小.jpg
士林新天地,19,25.08899,121.51751,119,05-29表格/士林新天地.jpg
蘭雅國小,11,25.10775,121.52312,94,05-29表格/蘭雅國小.jpg
中正基河路口,28,25.0933,121.51962,174,05-29表格/中正基河路口.jpg
福林公園(中正路),27,25.09609,121.53006,64,05-29表格/福林公園(中正路).jpg
至善臨溪路口,22,25.09709,121.54229,71,05-29表格/至善臨溪路口.jpg
市立圖書館葫蘆堵分館,10,25.08217,121.51074,56,05-29表格/市立圖書館葫蘆堵分館.jpg
東山路110巷口,16,25.11306,121.53945,36,05-29表格/東山路110巷口.jpg
永平社會住宅,15,25.08887,121.50314,28,05-29表格/永平社會住宅.jpg
雨農橋,16,25.10012,121.53253,99,05-29表格/雨農橋.jpg
通河街76巷/承德路四段10巷口,14,25.08019,121.5202,126,05-29表格/通河街76巷/承德路四段10巷口.jpg
芝山聖佑宮,15,25.10455,121.53025,35,05-29表格/芝山聖佑宮.jpg
至誠雨聲街口,10,25.10199,121.52927,118,05-29表格/至誠雨聲街口.jpg
捷運線型公園(後街),13,25.09812,121.52449,144,05-29表格/捷運線型公園(後街).jpg
天母公園,12,25.12408,121.53003,42,05-29表格/天母公園.jpg
基河文林路口,16,25.08637,121.5247,106,05-29表格/基河文林路口.jpg
文林福華路口,19,25.10094,121.52243,118,05-29表格/文林福華路口.jpg
劍潭海外青年活動中心_1,10,25.0796,121.5237,62,05-29表格/劍潭海外青年活動中心_1.jpg
社子國小_1,20,25.09029,121.50189,52,05-29表格/社子國小_1.jpg
捷運劍潭站(1號出口),70,25.08577,121.52531,216,05-29表格/捷運劍潭站(1號出口).jpg
德行東山路口,12,25.1107,121.53999,25,05-29表格/德行東山路口.jpg
重慶北通河西街口,12,25.08756,121.51177,19,05-29表格/重慶北通河西街口.jpg
葫蘆國小(延平北路五段285巷),15,25.08406,121.5067,46,05-29表格/葫蘆國小(延平北路五段285巷).jpg
社子市場,11,25.0881,121.50873,25,05-29表格/社子市場.jpg
士林區農會社子分部,8,25.08912,121.5049,46,05-29表格/士林區農會社子分部.jpg
承德劍潭路口,20,25.0841,121.52341,113,05-29表格/承德劍潭路口.jpg
文林路101巷口,12,25.08761,121.52608,32,05-29表格/文林路101巷口.jpg
延平北路五段257巷15弄口,13,25.08408,121.50959,45,05-29表格/延平北路五段257巷15弄口.jpg
延平北路五段257巷4弄口,15,25.08471,121.5089,20,05-29表格/延平北路五段257巷4弄口.jpg
啟明學校,16,25.11742,121.53472,61,05-29表格/啟明學校.jpg
台北花木批發市場,15,25.00402,121.54074,188,05-29表格/台北花木批發市場.jpg
捷運萬隆站(4號出口),21,25.0027,121.53861,151,05-29表格/捷運萬隆站(4號出口).jpg
捷運萬隆站(1號出口),26,25.00115,121.53916,119,05-29表格/捷運萬隆站(1號出口).jpg
萬和二號公園,18,25.00154,121.5364,147,05-29表格/萬和二號公園.jpg
捷運萬隆站(2號出口),12,25.00144,121.53983,122,05-29表格/捷運萬隆站(2號出口).jpg
景仁公園,16,24.99621,121.54043,205,05-29表格/景仁公園.jpg
捷運景美站(2號出口),31,24.99366,121.54124,330,05-29表格/捷運景美站(2號出口).jpg
羅斯福景隆街口,20,24.99898,121.5403,80,05-29表格/羅斯福景隆街口.jpg
景福街/羅斯福路6段142巷口,28,24.99812,121.53663,0,05-29表格/景福街/羅斯福路6段142巷口.jpg
興旺公園,30,25.00587,121.55012,45,05-29表格/興旺公園.jpg
興福國中,25,25.00465,121.54916,116,05-29表格/興福國中.jpg
興隆路2段203巷,35,25.00346,121.54709,51,05-29表格/興隆路2段203巷.jpg
景美運動公園,11,25.00219,121.54454,82,05-29表格/景美運動公園.jpg
景美醫院,18,24.99136,121.54008,147,05-29表格/景美醫院.jpg
師範大學公館校區,14,25.00792,121.53731,106,05-29表格/師範大學公館校區.jpg
景華街128巷口,14,24.99543,121.54725,137,05-29表格/景華街128巷口.jpg
仙跡岩登山口(景興路),22,24.99118,121.5436,133,05-29表格/仙跡岩登山口(景興路).jpg
國立政治大學,35,24.98737,121.57726,103,05-29表格/國立政治大學.jpg
捷運動物園站,18,24.99873,121.57985,141,05-29表格/捷運動物園站.jpg
捷運木柵站,19,24.99798,121.57455,114,05-29表格/捷運木柵站.jpg
捷運萬芳社區站,16,24.99886,121.56769,62,05-29表格/捷運萬芳社區站.jpg
文山運動中心,20,24.99676,121.5596,76,05-29表格/文山運動中心.jpg
捷運辛亥站,29,25.00467,121.55684,80,05-29表格/捷運辛亥站.jpg
興豐公園,16,24.99982,121.54761,110,05-29表格/興豐公園.jpg
木柵光輝路口,19,24.98816,121.55528,73,05-29表格/木柵光輝路口.jpg
考試院,14,24.98747,121.54984,94,05-29表格/考試院.jpg
和興路26巷口,15,24.98573,121.54532,48,05-29表格/和興路26巷口.jpg
世新大學,16,24.98859,121.54336,68,05-29表格/世新大學.jpg
一壽橋,12,24.97837,121.55548,91,05-29表格/一壽橋.jpg
臺北市立景美女中,13,24.98058,121.55624,84,05-29表格/臺北市立景美女中.jpg
永安藝文館-表演36房,15,24.98414,121.56907,92,05-29表格/永安藝文館-表演36房.jpg
