sna,tot,lat,lng,流量,路徑
臨江街夜市(通化街101巷口),30,25.02952,121.55406,234,05-28表格/臨江街夜市(通化街101巷口).jpg
臨江街夜市(基隆路),17,25.02931,121.55721,198,05-28表格/臨江街夜市(基隆路).jpg
台北科技大學億光大樓,46,25.04177,121.53833,144,05-28表格/台北科技大學億光大樓.jpg
新生南路一段119巷口,33,25.04003,121.53299,228,05-28表格/新生南路一段119巷口.jpg
幸安國小(仁愛路),16,25.03753,121.53523,86,05-28表格/幸安國小(仁愛路).jpg
民榮公園,15,25.03534,121.5354,140,05-28表格/民榮公園.jpg
復興南路1段340巷口,38,25.03701,121.54348,166,05-28表格/復興南路1段340巷口.jpg
建國濟南路口,29,25.03935,121.53828,155,05-28表格/建國濟南路口.jpg
捷運忠孝復興站(2號出口),58,25.04035,121.5436,402,05-28表格/捷運忠孝復興站(2號出口).jpg
捷運大安站(4號出口),13,25.0332,121.5439,394,05-28表格/捷運大安站(4號出口).jpg
捷運大安站(2號出口),22,25.03358,121.54141,151,05-28表格/捷運大安站(2號出口).jpg
信義大安路口(信維大樓),12,25.03317,121.54639,154,05-28表格/信義大安路口(信維大樓).jpg
龍門廣場,50,25.04092,121.54825,327,05-28表格/龍門廣場.jpg
仁愛安和路口,20,25.03754,121.55285,190,05-28表格/仁愛安和路口.jpg
信義敦化路口,42,25.03333,121.54977,306,05-28表格/信義敦化路口.jpg
仁愛國中,25,25.03706,121.55166,63,05-28表格/仁愛國中.jpg
捷運信義安和站(2號出口),26,25.03304,121.55171,185,05-28表格/捷運信義安和站(2號出口).jpg
八德市場,30,25.04463,121.53665,113,05-28表格/八德市場.jpg
昌隆公園,16,25.04448,121.53946,69,05-28表格/昌隆公園.jpg
捷運大安森林公園站(2號出口),52,25.03332,121.53435,295,05-28表格/捷運大安森林公園站(2號出口).jpg
信義延吉街口,15,25.03318,121.55725,151,05-28表格/信義延吉街口.jpg
光信公園(光復南路456巷),15,25.03513,121.5561,165,05-28表格/光信公園(光復南路456巷).jpg
僑安地下停車場(2號出口)東南側,20,25.0391,121.5569,175,05-28表格/僑安地下停車場(2號出口)東南側.jpg
建國南路一段279巷口,32,25.03635,121.53833,199,05-28表格/建國南路一段279巷口.jpg
捷運忠孝新生站(6號出口),15,25.04091,121.53295,71,05-28表格/捷運忠孝新生站(6號出口).jpg
大安高工,23,25.03126,121.54339,163,05-28表格/大安高工.jpg
捷運忠孝新生站(3號出口),23,25.04189,121.53376,160,05-28表格/捷運忠孝新生站(3號出口).jpg
瑠公公園,20,25.04201,121.54612,202,05-28表格/瑠公公園.jpg
敦化市民路口,25,25.04405,121.5486,139,05-28表格/敦化市民路口.jpg
捷運大安森林公園站(5號出口),15,25.03336,121.5364,287,05-28表格/捷運大安森林公園站(5號出口).jpg
信義建國路口,34,25.0328,121.53746,310,05-28表格/信義建國路口.jpg
東豐公園,19,25.03569,121.5451,104,05-28表格/東豐公園.jpg
德安公園(四維路66巷),14,25.03473,121.54767,88,05-28表格/德安公園(四維路66巷).jpg
捷運忠孝復興站(5號出口),41,25.04262,121.54443,247,05-28表格/捷運忠孝復興站(5號出口).jpg
捷運忠孝敦化站(2號出口),17,25.04153,121.5524,299,05-28表格/捷運忠孝敦化站(2號出口).jpg
捷運忠孝敦化站(7號出口),18,25.04159,121.54937,255,05-28表格/捷運忠孝敦化站(7號出口).jpg
瑞安街208巷,15,25.02979,121.54053,161,05-28表格/瑞安街208巷.jpg
樂利路21巷口,17,25.0277,121.55132,133,05-28表格/樂利路21巷口.jpg
捷運科技大樓站(台北教育大學),20,25.02469,121.54459,134,05-28表格/捷運科技大樓站(台北教育大學).jpg
捷運國父紀念館站(2號出口),31,25.04122,121.55745,451,05-28表格/捷運國父紀念館站(2號出口).jpg
仁愛醫院,20,25.03756,121.54587,237,05-28表格/仁愛醫院.jpg
捷運信義安和站(4號出口),18,25.03305,121.55378,378,05-28表格/捷運信義安和站(4號出口).jpg
成功國宅,20,25.02681,121.54668,252,05-28表格/成功國宅.jpg
仁愛延吉街口,17,25.03748,121.55564,234,05-28表格/仁愛延吉街口.jpg
捷運信義安和站(1號出口),23,25.03331,121.55265,242,05-28表格/捷運信義安和站(1號出口).jpg
敦化南路二段103巷口,12,25.0287,121.54904,141,05-28表格/敦化南路二段103巷口.jpg
復興南路二段128巷口,24,25.02861,121.54336,319,05-28表格/復興南路二段128巷口.jpg
和平東建國南路口,14,25.02575,121.5377,101,05-28表格/和平東建國南路口.jpg
芳蘭山莊,16,25.01223,121.54788,20,05-28表格/芳蘭山莊.jpg
復興南路一段126巷口,15,25.04311,121.54313,147,05-28表格/復興南路一段126巷口.jpg
捷運東門站(5號出口),28,25.03363,121.52962,450,05-28表格/捷運東門站(5號出口).jpg
仁愛路四段48巷口,11,25.03609,121.54709,111,05-28表格/仁愛路四段48巷口.jpg
臺北科技大學(電機工程系),16,25.04196,121.53653,95,05-28表格/臺北科技大學(電機工程系).jpg
忠孝東路三段217巷口,34,25.04176,121.54027,171,05-28表格/忠孝東路三段217巷口.jpg
新生南路三段94巷口,15,25.01744,121.53334,159,05-28表格/新生南路三段94巷口.jpg
辛亥新生路口西北側,12,25.02267,121.5341,103,05-28表格/辛亥新生路口西北側.jpg
捷運大安站(6號出口),19,25.03479,121.54376,112,05-28表格/捷運大安站(6號出口).jpg
臥龍街195巷口,14,25.01783,121.55224,35,05-28表格/臥龍街195巷口.jpg
辛亥路三段157巷口,19,25.01727,121.54904,22,05-28表格/辛亥路三段157巷口.jpg
臥龍基隆路口,16,25.02039,121.54853,39,05-28表格/臥龍基隆路口.jpg
敦親公園,16,25.02347,121.54108,183,05-28表格/敦親公園.jpg
大安運動中心,18,25.02054,121.54561,136,05-28表格/大安運動中心.jpg
和平敦化路口,22,25.02444,121.54908,190,05-28表格/和平敦化路口.jpg
基隆長興路口,43,25.01705,121.54435,74,05-28表格/基隆長興路口.jpg
仁愛路四段122巷口,16,25.03762,121.55009,98,05-28表格/仁愛路四段122巷口.jpg
市民敦化路口,15,25.04464,121.54944,82,05-28表格/市民敦化路口.jpg
忠孝東路四段49巷口,15,25.04172,121.54541,82,05-28表格/忠孝東路四段49巷口.jpg
市民復興路口(東南側),16,25.04472,121.54401,0,05-28表格/市民復興路口(東南側).jpg
全安公園,16,25.02535,121.55101,74,05-28表格/全安公園.jpg
信義路三段134巷口,19,25.03333,121.53968,155,05-28表格/信義路三段134巷口.jpg
仁愛敦南圓環(東南側),16,25.03715,121.54936,85,05-28表格/仁愛敦南圓環(東南側).jpg
